,start_time,end_time,P_total
451,2024-09-05 12:28:00,2024-09-05 13:18:00,6.021
353,2023-11-25 12:03:00,2023-11-25 12:17:00,5.952
105,2022-09-06 10:19:00,2022-09-06 14:09:00,5.939
371,2024-05-23 06:21:00,2024-05-23 07:08:00,5.89
664,2025-09-25 12:02:00,2025-09-25 13:44:00,5.709
194,2023-04-24 10:48:00,2023-04-24 11:17:00,5.676
736,2026-02-26 03:59:00,2026-02-26 04:57:00,5.605
618,2025-08-14 10:53:00,2025-08-14 12:36:00,5.598
605,2025-07-17 04:54:00,2025-07-17 06:19:00,5.592
286,2023-09-01 06:04:00,2023-09-01 07:07:00,5.58
392,2024-06-27 05:40:00,2024-06-27 06:18:00,5.497
280,2023-08-28 08:00:00,2023-08-28 08:15:00,5.477
174,2022-11-23 09:47:00,2022-11-23 11:44:00,5.376
655,2025-09-13 17:49:00,2025-09-13 18:18:00,5.342
527,2024-12-04 10:19:00,2024-12-04 11:23:00,5.312
542,2025-02-15 08:17:00,2025-02-15 08:52:00,5.26
644,2025-09-06 11:07:00,2025-09-06 11:43:00,5.183
301,2023-09-17 07:06:00,2023-09-17 07:23:00,5.135
284,2023-08-31 03:44:00,2023-08-31 03:56:00,5.121
509,2024-10-28 02:25:00,2024-10-28 04:36:00,5.098
349,2023-11-14 07:03:00,2023-11-14 07:27:00,5.098
155,2022-10-27 05:52:00,2022-10-27 09:23:00,5.062
504,2024-10-22 02:14:00,2024-10-22 02:37:00,5.052
86,2022-08-11 03:38:00,2022-08-11 04:41:00,5.038
770,2026-06-06 10:07:00,2026-06-06 10:33:00,5.031
265,2023-07-28 10:51:00,2023-07-28 11:53:00,5.031
670,2025-09-28 08:12:00,2025-09-28 09:36:00,5.027
549,2025-04-24 10:19:00,2025-04-24 10:52:00,5.005
410,2024-07-18 08:45:00,2024-07-18 10:20:00,4.989
443,2024-08-30 16:06:00,2024-08-30 19:02:00,4.978
634,2025-08-28 19:42:00,2025-08-28 20:01:00,4.965
526,2024-12-02 17:10:00,2024-12-02 17:34:00,4.941
514,2024-11-06 12:11:00,2024-11-06 14:04:00,4.928
257,2023-07-23 05:30:00,2023-07-23 06:54:00,4.921
282,2023-08-30 04:31:00,2023-08-30 04:42:00,4.912
609,2025-07-27 05:21:00,2025-07-27 05:31:00,4.905
394,2024-07-02 12:12:00,2024-07-02 14:45:00,4.898
601,2025-07-07 05:49:00,2025-07-07 06:12:00,4.875
478,2024-10-02 19:25:00,2024-10-02 20:38:00,4.871
583,2025-06-13 05:28:00,2025-06-13 07:29:00,4.834
537,2025-01-14 09:43:00,2025-01-14 11:39:00,4.83
198,2023-05-20 12:09:00,2023-05-20 12:41:00,4.809
521,2024-11-21 10:26:00,2024-11-21 10:47:00,4.785
599,2025-07-04 12:19:00,2025-07-04 12:28:00,4.761
686,2025-10-13 17:19:00,2025-10-13 20:24:00,4.757
654,2025-09-13 08:38:00,2025-09-13 10:06:00,4.739
633,2025-08-28 13:18:00,2025-08-28 15:09:00,4.68
166,2022-11-13 06:57:00,2022-11-13 08:57:00,4.673
747,2026-05-05 10:17:00,2026-05-05 11:34:00,4.657
677,2025-10-01 12:04:00,2025-10-01 13:28:00,4.632
240,2023-07-08 03:47:00,2023-07-08 04:01:00,4.6
596,2025-06-27 04:51:00,2025-06-27 05:34:00,4.599
117,2022-09-18 09:30:00,2022-09-18 10:02:00,4.591
638,2025-08-31 07:47:00,2025-08-31 09:50:00,4.545
261,2023-07-25 08:42:00,2023-07-25 08:54:00,4.545
245,2023-07-16 06:36:00,2023-07-16 06:47:00,4.538
503,2024-10-21 12:50:00,2024-10-21 16:24:00,4.534
523,2024-11-22 11:42:00,2024-11-22 12:06:00,4.501
388,2024-06-22 06:51:00,2024-06-22 07:09:00,4.422
456,2024-09-12 09:33:00,2024-09-12 12:00:00,4.404
543,2025-02-19 07:26:00,2025-02-19 08:03:00,4.395
176,2022-12-02 11:14:00,2022-12-02 11:19:00,4.357
643,2025-09-03 16:12:00,2025-09-03 16:37:00,4.352
463,2024-09-18 10:11:00,2024-09-18 10:34:00,4.346
580,2025-06-09 07:13:00,2025-06-09 07:52:00,4.29
130,2022-09-27 09:04:00,2022-09-27 11:19:00,4.283
564,2025-05-22 07:34:00,2025-05-22 09:11:00,4.238
725,2025-12-19 07:55:00,2025-12-19 08:22:00,4.22
683,2025-10-12 04:11:00,2025-10-12 04:52:00,4.203
149,2022-10-19 19:06:00,2022-10-19 21:16:00,4.166
663,2025-09-25 07:07:00,2025-09-25 07:35:00,4.128
653,2025-09-13 06:00:00,2025-09-13 06:30:00,4.117
